fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,day_num_of_flights,num_flights_24hr,inbound_fl
2018-01-02 00:00:00,DL,N308DE,1124,ATL,RIC,17:25:00,1724.0,-1.0,11.0,1735.0,1836.0,4.0,18:55:00,1840.0,-15.0,0.0,,0.0,N,90.0,76.0,61.0,481.0,,,,,,,,,,0,Atlanta, GA,Richmond, VA,2018-01-02 00:00:00,2018-01-02 17:25:00,2018-01-02 18:55:00,1,1,9,18,0
2018-01-02 00:00:00,DL,N308DE,1124,RIC,ATL,19:30:00,1923.0,-7.0,13.0,1936.0,2054.0,22.0,21:32:00,2116.0,-16.0,0.0,,0.0,N,122.0,113.0,78.0,481.0,,,,,,,,,,0,Richmond, VA,Atlanta, GA,2018-01-02 00:00:00,2018-01-02 19:30:00,2018-01-02 21:32:00,1,1,1,2,1
2018-01-02 00:00:00,DL,N342NB,1125,CLT,ATL,19:05:00,1911.0,6.0,21.0,1932.0,2017.0,11.0,20:29:00,2028.0,-1.0,0.0,,0.0,N,84.0,77.0,45.0,226.0,,,,,,,,,,0,Charlotte, NC,Atlanta, GA,2018-01-02 00:00:00,2018-01-02 19:05:00,2018-01-02 20:29:00,1,1,1,1,0
2018-01-02 00:00:00,DL,N988DL,1126,BNA,DTW,18:43:00,1931.0,48.0,13.0,1944.0,2150.0,7.0,21:25:00,2157.0,32.0,0.0,,0.0,N,102.0,86.0,66.0,456.0,3.0,0.0,23.0,0.0,6.0,1850.0,1.0,1.0,,0,Nashville, TN,Detroit, MI,2018-01-02 00:00:00,2018-01-02 18:43:00,2018-01-02 21:25:00,1,1,1,1,0
2018-01-02 00:00:00,DL,N951DL,1127,ATL,IND,09:11:00,910.0,-1.0,15.0,925.0,1030.0,5.0,10:42:00,1035.0,-7.0,0.0,,0.0,N,91.0,85.0,65.0,432.0,,,,,,,,,,0,Atlanta, GA,Indianapolis, IN,2018-01-02 00:00:00,2018-01-02 09:11:00,2018-01-02 10:42:00,1,1,9,14,0
2018-01-02 00:00:00,DL,N951DL,1127,IND,ATL,11:22:00,1122.0,0.0,12.0,1134.0,1236.0,7.0,13:05:00,1243.0,-22.0,0.0,,0.0,N,103.0,81.0,62.0,432.0,,,,,,,,,,0,Indianapolis, IN,Atlanta, GA,2018-01-02 00:00:00,2018-01-02 11:22:00,2018-01-02 13:05:00,1,1,1,2,1
2018-01-02 00:00:00,DL,N876DN,1128,ATL,LAX,21:30:00,2243.0,73.0,16.0,2259.0,18.0,12.0,23:37:00,30.0,53.0,0.0,,0.0,N,307.0,287.0,259.0,1947.0,44.0,0.0,0.0,0.0,9.0,2209.0,28.0,28.0,,0,Atlanta, GA,Los Angeles, CA,2018-01-02 00:00:00,2018-01-02 21:30:00,2018-01-02 23:37:00,1,1,9,13,0
2018-01-02 00:00:00,DL,N665DN,1130,ATL,MSP,22:30:00,2228.0,-2.0,18.0,2246.0,2353.0,3.0,00:16:00,2356.0,-20.0,0.0,,0.0,N,166.0,148.0,127.0,907.0,,,,,,,,,,0,Atlanta, GA,Minneapolis, MN,2018-01-03 00:00:00,2018-01-02 22:30:00,2018-01-03 00:16:00,1,1,9,13,0
2018-01-02 00:00:00,DL,N926AT,1132,ATL,CID,21:22:00,2119.0,-3.0,12.0,2131.0,2212.0,7.0,22:43:00,2219.0,-24.0,0.0,,0.0,N,141.0,120.0,101.0,694.0,,,,,,,,,,0,Atlanta, GA,Cedar Rapids/Iowa City, IA,2018-01-02 00:00:00,2018-01-02 21:22:00,2018-01-02 22:43:00,1,1,9,13,0
2018-01-02 00:00:00,DL,N3757D,1133,SLC,SEA,09:32:00,929.0,-3.0,18.0,947.0,1031.0,40.0,11:05:00,1111.0,6.0,0.0,,0.0,N,153.0,162.0,104.0,689.0,,,,,,,,,,0,Salt Lake City, UT,Seattle, WA,2018-01-02 00:00:00,2018-01-02 09:32:00,2018-01-02 11:05:00,1,1,2,3,0
