,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2019-02-12,UA,UA_CODESHARE,UA,3946,ZW,N421ZW,3946,12217,HSV,"Huntsville, AL",13930,ORD,"Chicago, IL",1010,1017.0,7.0,34.0,1051.0,1217.0,9.0,1205,1226.0,21.0,0.0,,0.0,N,115.0,129.0,86.0,1.0,510.0,0.0,0.0,21.0,0.0,0.0,,,,
1,2019-05-07,UA,UA_CODESHARE,UA,3878,ZW,N436AW,3878,13930,ORD,"Chicago, IL",11977,GRB,"Green Bay, WI",1010,1012.0,2.0,29.0,1041.0,1114.0,3.0,1114,1117.0,3.0,0.0,,0.0,N,64.0,65.0,33.0,1.0,174.0,,,,,,,,,
2,2019-08-24,UA,UA_CODESHARE,UA,3955,ZW,N429AW,3955,12884,LAN,"Lansing, MI",13930,ORD,"Chicago, IL",1150,1139.0,-11.0,10.0,1149.0,1131.0,12.0,1203,1143.0,-20.0,0.0,,0.0,N,73.0,64.0,42.0,1.0,179.0,,,,,,,,,
3,2018-05-13,UA,UA_CODESHARE,UA,3898,ZW,N412AW,3898,13342,MKE,"Milwaukee, WI",13930,ORD,"Chicago, IL",1200,1312.0,72.0,10.0,1322.0,1347.0,27.0,1256,1414.0,78.0,0.0,,0.0,N,56.0,62.0,25.0,1.0,67.0,26.0,0.0,6.0,0.0,46.0,,,,
4,2018-11-01,UA,UA_CODESHARE,UA,3826,ZW,N439AW,3826,13930,ORD,"Chicago, IL",12197,HPN,"White Plains, NY",745,742.0,-3.0,20.0,802.0,1038.0,4.0,1052,1042.0,-10.0,0.0,,0.0,N,127.0,120.0,96.0,1.0,738.0,,,,,,,,,
5,2018-07-23,UA,UA_CODESHARE,UA,3963,ZW,N415AW,3963,15370,TUL,"Tulsa, OK",13930,ORD,"Chicago, IL",1240,1231.0,-9.0,29.0,1300.0,1437.0,11.0,1438,1448.0,10.0,0.0,,0.0,N,118.0,137.0,97.0,1.0,585.0,,,,,,,,,
6,2019-07-14,UA,UA_CODESHARE,UA,4865,ZW,N470ZW,4865,13930,ORD,"Chicago, IL",11003,CID,"Cedar Rapids/Iowa City, IA",1330,1346.0,16.0,11.0,1357.0,1430.0,9.0,1443,1439.0,-4.0,0.0,,0.0,N,73.0,53.0,33.0,1.0,196.0,,,,,,,,,
7,2018-05-13,UA,UA_CODESHARE,UA,3892,ZW,N454AW,3892,13930,ORD,"Chicago, IL",11267,DAY,"Dayton, OH",1757,1749.0,-8.0,31.0,1820.0,2001.0,5.0,2014,2006.0,-8.0,0.0,,0.0,N,77.0,77.0,41.0,1.0,240.0,,,,,,,,,
8,2019-04-08,UA,UA_CODESHARE,UA,3864,ZW,N419AW,3864,15412,TYS,"Knoxville, TN",12264,IAD,"Washington, DC",1450,1445.0,-5.0,22.0,1507.0,1610.0,13.0,1625,1623.0,-2.0,0.0,,0.0,N,95.0,98.0,63.0,1.0,420.0,,,,,,,,,
9,2018-04-17,UA,UA_CODESHARE,UA,3920,ZW,N436AW,3920,11775,FSD,"Sioux Falls, SD",13930,ORD,"Chicago, IL",1525,1517.0,-8.0,12.0,1529.0,1636.0,9.0,1707,1645.0,-22.0,0.0,,0.0,N,102.0,88.0,67.0,1.0,462.0,,,,,,,,,
