,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
13938,2019-03-07,AS,N307AS,684,14747,14107,07:40:00,924.0,104.0,45.0,1009.0,1336.0,8.0,11:30:00,1344.0,134.0,0.0,not cancelled,0.0,170.0,200.0,147.0,1107.0,0.0,104.0,30.0,0.0,0.0,no first departure,0.0,0.0,0,Seattle, WA,Phoenix, AZ,2019-03-07,2019-03-07 07:40:00,2019-03-07 11:30:00,3,3,2,13,8,1,1,460,690,7,11,2,Moderate or heavy snow with thunder
13097,2019-05-30,WN,N8566Z,1059,11259,10140,19:20:00,1949.0,29.0,9.0,1958.0,2029.0,4.0,20:15:00,2033.0,18.0,0.0,not cancelled,0.0,115.0,104.0,91.0,580.0,8.0,0.0,0.0,0.0,10.0,no first departure,0.0,0.0,0,Dallas, TX,Albuquerque, NM,2019-05-30,2019-05-30 19:20:00,2019-05-30 20:15:00,5,3,2,15,9,0,0,1160,1215,19,20,6,Clear
3915,2019-08-19,AA,N804NN,210,13303,14107,14:15:00,1447.0,32.0,12.0,1459.0,1609.0,11.0,16:00:00,1620.0,20.0,0.0,not cancelled,0.0,285.0,273.0,250.0,1972.0,0.0,20.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Miami, FL,Phoenix, AZ,2019-08-19,2019-08-19 14:15:00,2019-08-19 16:00:00,8,0,3,2,2,0,0,855,960,14,16,4,Patchy rain possible
9302,2018-05-06,DL,N912DL,2394,10397,14100,18:30:00,1921.0,51.0,10.0,1931.0,2054.0,7.0,20:35:00,2101.0,26.0,0.0,not cancelled,0.0,125.0,100.0,83.0,666.0,26.0,0.0,0.0,0.0,0.0,1828.0,21.0,21.0,0,Atlanta, GA,Philadelphia, PA,2018-05-06,2018-05-06 18:30:00,2018-05-06 20:35:00,5,6,2,12,8,0,0,1110,1235,18,20,6,Partly cloudy
3263,2018-03-20,9E,N232PQ,3970,15016,12953,16:01:00,1633.0,32.0,17.0,1650.0,1954.0,7.0,19:31:00,2001.0,30.0,0.0,not cancelled,0.0,150.0,148.0,124.0,888.0,0.0,0.0,30.0,0.0,0.0,no first departure,0.0,0.0,1,St. Louis, MO,New York, NY,2018-03-20,2018-03-20 16:01:00,2018-03-20 19:31:00,3,1,2,1,2,0,0,961,1171,16,19,5,Sunny
11433,2018-04-24,OH,N585NN,5632,11057,13931,11:55:00,1257.0,62.0,7.0,1304.0,1348.0,5.0,13:12:00,1353.0,41.0,0.0,not cancelled,0.0,77.0,56.0,44.0,290.0,41.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Charlotte, NC,Norfolk, VA,2018-04-24,2018-04-24 11:55:00,2018-04-24 13:12:00,4,1,2,9,10,0,0,715,792,11,13,3,Light rain shower
3101,2018-03-08,AA,N272AY,692,14107,12173,12:05:00,1209.0,4.0,17.0,1226.0,1642.0,4.0,16:05:00,1646.0,41.0,0.0,not cancelled,0.0,420.0,457.0,436.0,2917.0,4.0,0.0,37.0,0.0,0.0,no first departure,0.0,0.0,0,Phoenix, AZ,Honolulu, HI,2018-03-08,2018-03-08 12:05:00,2018-03-08 16:05:00,3,3,2,5,3,0,0,725,965,12,16,4,Sunny
5625,2019-11-11,OH,N584NN,5194,14100,13577,15:40:00,1617.0,37.0,16.0,1633.0,1744.0,5.0,17:24:00,1749.0,25.0,0.0,not cancelled,0.0,104.0,92.0,71.0,473.0,2.0,0.0,0.0,0.0,23.0,no first departure,0.0,0.0,1,Philadelphia, PA,Myrtle Beach, SC,2019-11-11,2019-11-11 15:40:00,2019-11-11 17:24:00,11,0,4,1,1,0,0,940,1044,15,17,5,Sunny
5889,2019-11-22,DL,N822DN,1610,11292,11433,08:15:00,817.0,2.0,54.0,911.0,1324.0,7.0,13:01:00,1331.0,30.0,0.0,not cancelled,0.0,166.0,194.0,133.0,1123.0,0.0,0.0,30.0,0.0,0.0,no first departure,0.0,0.0,0,Denver, CO,Detroit, MI,2019-11-22,2019-11-22 08:15:00,2019-11-22 13:01:00,11,4,4,1,1,0,0,495,781,8,13,2,Heavy snow
1878,2018-11-05,AA,N817AN,345,14771,13930,11:03:00,1101.0,-2.0,51.0,1152.0,1707.0,45.0,17:19:00,1752.0,33.0,0.0,not cancelled,0.0,256.0,291.0,195.0,1846.0,0.0,0.0,33.0,0.0,0.0,no first departure,0.0,0.0,0,San Francisco, CA,Chicago, IL,2018-11-05,2018-11-05 11:03:00,2018-11-05 17:19:00,11,0,4,2,2,1,1,663,1039,11,17,3,Sunny
