,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2018-01-02,DL,DL,DL,1124,DL,N308DE,1124,10397,ATL,"Atlanta, GA",14524,RIC,"Richmond, VA",1725,1724.0,-1.0,11.0,1735.0,1836.0,4.0,1855,1840.0,-15.0,0.0,,0.0,N,90.0,76.0,61.0,1.0,481.0,,,,,,,,,
1,2018-01-02,DL,DL,DL,1124,DL,N308DE,1124,14524,RIC,"Richmond, VA",10397,ATL,"Atlanta, GA",1930,1923.0,-7.0,13.0,1936.0,2054.0,22.0,2132,2116.0,-16.0,0.0,,0.0,N,122.0,113.0,78.0,1.0,481.0,,,,,,,,,
2,2018-01-02,DL,DL,DL,1125,DL,N342NB,1125,11057,CLT,"Charlotte, NC",10397,ATL,"Atlanta, GA",1905,1911.0,6.0,21.0,1932.0,2017.0,11.0,2029,2028.0,-1.0,0.0,,0.0,N,84.0,77.0,45.0,1.0,226.0,,,,,,,,,
3,2018-01-02,DL,DL,DL,1126,DL,N988DL,1126,10693,BNA,"Nashville, TN",11433,DTW,"Detroit, MI",1843,1931.0,48.0,13.0,1944.0,2150.0,7.0,2125,2157.0,32.0,0.0,,0.0,N,102.0,86.0,66.0,1.0,456.0,3.0,0.0,23.0,0.0,6.0,1850,1.0,1.0,
4,2018-01-02,DL,DL,DL,1127,DL,N951DL,1127,10397,ATL,"Atlanta, GA",12339,IND,"Indianapolis, IN",911,910.0,-1.0,15.0,925.0,1030.0,5.0,1042,1035.0,-7.0,0.0,,0.0,N,91.0,85.0,65.0,1.0,432.0,,,,,,,,,
5,2018-01-02,DL,DL,DL,1127,DL,N951DL,1127,12339,IND,"Indianapolis, IN",10397,ATL,"Atlanta, GA",1122,1122.0,0.0,12.0,1134.0,1236.0,7.0,1305,1243.0,-22.0,0.0,,0.0,N,103.0,81.0,62.0,1.0,432.0,,,,,,,,,
6,2018-01-02,DL,DL,DL,1128,DL,N876DN,1128,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",2130,2243.0,73.0,16.0,2259.0,18.0,12.0,2337,30.0,53.0,0.0,,0.0,N,307.0,287.0,259.0,1.0,1947.0,44.0,0.0,0.0,0.0,9.0,2209,28.0,28.0,
7,2018-01-02,DL,DL,DL,1130,DL,N665DN,1130,10397,ATL,"Atlanta, GA",13487,MSP,"Minneapolis, MN",2230,2228.0,-2.0,18.0,2246.0,2353.0,3.0,16,2356.0,-20.0,0.0,,0.0,N,166.0,148.0,127.0,1.0,907.0,,,,,,,,,
8,2018-01-02,DL,DL,DL,1132,DL,N926AT,1132,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",2122,2119.0,-3.0,12.0,2131.0,2212.0,7.0,2243,2219.0,-24.0,0.0,,0.0,N,141.0,120.0,101.0,1.0,694.0,,,,,,,,,
9,2018-01-02,DL,DL,DL,1133,DL,N3757D,1133,14869,SLC,"Salt Lake City, UT",14747,SEA,"Seattle, WA",932,929.0,-3.0,18.0,947.0,1031.0,40.0,1105,1111.0,6.0,0.0,,0.0,N,153.0,162.0,104.0,1.0,689.0,,,,,,,,,
10,2018-01-02,DL,DL,DL,1134,DL,N980DL,1134,10397,ATL,"Atlanta, GA",14027,PBI,"West Palm Beach/Palm Beach, FL",902,900.0,-2.0,13.0,913.0,1035.0,4.0,1050,1039.0,-11.0,0.0,,0.0,N,108.0,99.0,82.0,1.0,545.0,,,,,,,,,
11,2018-01-02,DL,DL,DL,1134,DL,N980DL,1134,14027,PBI,"West Palm Beach/Palm Beach, FL",10397,ATL,"Atlanta, GA",1130,1130.0,0.0,16.0,1146.0,1311.0,9.0,1328,1320.0,-8.0,0.0,,0.0,N,118.0,110.0,85.0,1.0,545.0,,,,,,,,,
12,2018-01-02,DL,DL,DL,1135,DL,N964DN,1135,12451,JAX,"Jacksonville, FL",13487,MSP,"Minneapolis, MN",1437,1428.0,-9.0,14.0,1442.0,1628.0,5.0,1659,1633.0,-26.0,0.0,,0.0,N,202.0,185.0,166.0,1.0,1174.0,,,,,,,,,
13,2018-01-02,DL,DL,DL,1135,DL,N964DN,1135,13487,MSP,"Minneapolis, MN",12451,JAX,"Jacksonville, FL",950,950.0,0.0,13.0,1003.0,1337.0,4.0,1357,1341.0,-16.0,0.0,,0.0,N,187.0,171.0,154.0,1.0,1174.0,,,,,,,,,
14,2018-01-02,DL,DL,DL,1136,DL,N971DL,1136,10397,ATL,"Atlanta, GA",14635,RSW,"Fort Myers, FL",1405,1401.0,-4.0,13.0,1414.0,1526.0,4.0,1545,1530.0,-15.0,0.0,,0.0,N,100.0,89.0,72.0,1.0,515.0,,,,,,,,,
15,2018-01-02,DL,DL,DL,1136,DL,N971DL,1136,14635,RSW,"Fort Myers, FL",10397,ATL,"Atlanta, GA",1625,1617.0,-8.0,16.0,1633.0,1755.0,7.0,1823,1802.0,-21.0,0.0,,0.0,N,118.0,105.0,82.0,1.0,515.0,,,,,,,,,
16,2018-01-02,DL,DL,DL,1137,DL,N927DA,1137,14492,RDU,"Raleigh/Durham, NC",10397,ATL,"Atlanta, GA",600,604.0,4.0,26.0,630.0,731.0,3.0,731,734.0,3.0,0.0,,0.0,N,91.0,90.0,61.0,1.0,356.0,,,,,,,,,
17,2018-01-02,DL,DL,DL,1138,DL,N775DE,1138,10397,ATL,"Atlanta, GA",11193,CVG,"Cincinnati, OH",1645,1643.0,-2.0,11.0,1654.0,1751.0,5.0,1812,1756.0,-16.0,0.0,,0.0,N,87.0,73.0,57.0,1.0,373.0,,,,,,,,,
18,2018-01-02,DL,DL,DL,1139,DL,N940DN,1139,13487,MSP,"Minneapolis, MN",13871,OMA,"Omaha, NE",2039,2035.0,-4.0,40.0,2115.0,2156.0,4.0,2200,2200.0,0.0,0.0,,0.0,N,81.0,85.0,41.0,1.0,282.0,,,,,,,,,
