,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,dest_airport_id,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,share_code,origin_city,origin_state,dest_city,dest_state,arr_date,dep_datetime,arr_datetime,fl_month,fl_weekday,season,day_num_of_flights,num_flights_6hr,inbound_fl_num,inbound_fl,dep_min_of_day,arr_min_of_day,dep_hr,arr_hr,hr,weather
11707,2018-07-03,DL,N824DN,2981,14869,14747,11:10:00,1113.0,3.0,11.0,1124.0,1159.0,6.0,12:25:00,1205.0,-20.0,0.0,not cancelled,0.0,135.0,112.0,95.0,689.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Salt Lake City, UT,Seattle, WA,2018-07-03,2018-07-03 11:10:00,2018-07-03 12:25:00,7,1,3,4,4,1,1,670,745,11,12,3,Partly cloudy
8986,2019-01-22,WN,N552WN,2088,10599,12191,05:45:00,544.0,-1.0,10.0,554.0,726.0,4.0,07:45:00,730.0,-15.0,0.0,not cancelled,0.0,120.0,106.0,92.0,570.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Birmingham, AL,Houston, TX,2019-01-22,2019-01-22 05:45:00,2019-01-22 07:45:00,1,1,1,12,3,0,0,345,465,5,7,1,Clear
10435,2018-09-19,YV,N89321,6338,12266,15370,16:30:00,1629.0,-1.0,14.0,1643.0,1746.0,2.0,18:03:00,1748.0,-15.0,0.0,not cancelled,0.0,93.0,79.0,63.0,429.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Houston, TX,Tulsa, OK,2018-09-19,2018-09-19 16:30:00,2018-09-19 18:03:00,9,2,4,13,10,1,1,990,1083,16,18,5,Sunny
9524,2018-05-21,AA,N656AW,630,11697,14100,16:31:00,1627.0,-4.0,11.0,1638.0,1900.0,5.0,19:25:00,1905.0,-20.0,0.0,not cancelled,0.0,174.0,158.0,142.0,992.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Fort Lauderdale, FL,Philadelphia, PA,2018-05-21,2018-05-21 16:31:00,2018-05-21 19:25:00,5,0,2,1,1,0,0,991,1165,16,19,5,Moderate or heavy rain shower
1903,2018-11-11,B6,N603JB,1043,11618,14027,11:17:00,1107.0,-10.0,26.0,1133.0,1356.0,5.0,14:08:00,1401.0,-7.0,0.0,not cancelled,0.0,171.0,174.0,143.0,1023.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Newark, NJ,West Palm Beach/Palm Beach, FL,2018-11-11,2018-11-11 11:17:00,2018-11-11 14:08:00,11,6,4,1,1,0,0,677,848,11,14,3,Sunny
8273,2019-09-10,OO,N206SY,5545,14869,12266,09:15:00,907.0,-8.0,14.0,921.0,1255.0,35.0,13:28:00,1330.0,2.0,0.0,not cancelled,0.0,193.0,203.0,154.0,1195.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Salt Lake City, UT,Houston, TX,2019-09-10,2019-09-10 09:15:00,2019-09-10 13:28:00,9,1,4,10,6,0,0,555,808,9,13,3,Patchy rain possible
10464,2018-09-19,WN,N270WN,3243,10397,14122,22:10:00,2252.0,42.0,10.0,2302.0,19.0,3.0,23:55:00,22.0,27.0,0.0,not cancelled,0.0,105.0,90.0,77.0,526.0,27.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Atlanta, GA,Pittsburgh, PA,2018-09-19,2018-09-19 22:10:00,2018-09-19 23:55:00,9,2,4,30,8,0,0,1330,1435,22,23,7,Clear
6788,2018-10-08,MQ,N925AE,3819,12451,13303,19:31:00,1941.0,10.0,11.0,1952.0,2050.0,5.0,20:50:00,2055.0,5.0,0.0,not cancelled,0.0,79.0,74.0,58.0,335.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,1,Jacksonville, FL,Miami, FL,2018-10-08,2018-10-08 19:31:00,2018-10-08 20:50:00,10,0,4,1,2,1,1,1171,1250,19,20,6,Patchy rain possible
2895,2018-03-02,AA,N769US,1769,11057,15016,14:36:00,1439.0,3.0,15.0,1454.0,1535.0,3.0,15:34:00,1538.0,4.0,0.0,not cancelled,0.0,118.0,119.0,101.0,575.0,0.0,0.0,0.0,0.0,0.0,no first departure,0.0,0.0,0,Charlotte, NC,St. Louis, MO,2018-03-02,2018-03-02 14:36:00,2018-03-02 15:34:00,3,4,2,8,5,0,0,876,934,14,15,4,Sunny
11605,2018-04-27,WN,N428WN,1709,10721,10821,17:30:00,1830.0,60.0,19.0,1849.0,1956.0,3.0,19:10:00,1959.0,49.0,0.0,not cancelled,0.0,100.0,89.0,67.0,369.0,6.0,0.0,0.0,0.0,43.0,no first departure,0.0,0.0,0,Boston, MA,Baltimore, MD,2018-04-27,2018-04-27 17:30:00,2018-04-27 19:10:00,4,4,2,23,9,0,0,1050,1150,17,19,5,Moderate rain
